time,angle,distance
0.2,1,7.45263592950229
0.4,2,6.712716201256061
0.6000000000000001,3,7.0251267531822466
0.8,4,7.419750608246902
1.0,5,7.288209323225351
1.2,6,6.918249459102236
1.4,7,10.173896263385641
1.5999999999999999,8,25.4779026426118
1.7999999999999998,9,9.598403141416352
1.9999999999999998,10,16.15491406670932
2.1999999999999997,11,19.653090115251214
2.4,12,16.718075193207838
2.6,13,7.691054508603853
2.8000000000000003,14,3.1241055192618536
3.0000000000000004,15,3.5146187091695853
3.2000000000000006,16,1.9566766146955819
3.400000000000001,17,1.6607087233970905
3.600000000000001,18,1.3688514972555226
3.800000000000001,19,1.0564409453293373
4.000000000000001,20,1.0564409453293373
